Animation | rbxassetid://13080725587
HellAssaultFinisher | rbxassetid://108997902314817
PhantomShotStart | rbxassetid://106679733955351
PhantomShotHitVictim | rbxassetid://92715222823530
PhantomShotHitChar | rbxassetid://97127011782272
GlacialCinderFinisherSpike | rbxassetid://127354009989438
GlacialCinderSpike | rbxassetid://124891983762561
ScorchingSurgeFinisherChar | rbxassetid://78317072447057
ScorchingSurgeFinisherVictim | rbxassetid://104285582104262
SpearSwing1 | rbxassetid://15504800742
SpearSwing2 | rbxassetid://15504801692
SpearSwing3 | rbxassetid://15504802588
SpearSwing4 | rbxassetid://15504803701
Cinderbind | rbxassetid://80434218855032
CinderbindFinisher | rbxassetid://79645761826303
PhantomShotFollowDash | rbxassetid://117055344236245
PhantomShotFinisherVictim | rbxassetid://100078406253077
PhantomShotFinisherChar | rbxassetid://80205387064627
mastery_punch1 | rbxassetid://136834339390162
mastery_punch2 | rbxassetid://123341948127122
mastery_punch3 | rbxassetid://88299904129652
mastery_punch4 | rbxassetid://80198032204286
mastery_Uppercut | rbxassetid://83618626408011
CinderbindFinisher | rbxassetid://121041743564100
CinderbindStart | rbxassetid://102450325926674
HellShotScythe | rbxassetid://78208953730254
HellShotScytheFinisher | rbxassetid://136712482796221
ScytheSwing4 | rbxassetid://123831533631815
ScytheSwing2 | rbxassetid://104692061279645
ScytheSwing3 | rbxassetid://71283405710962
ScytheSwing1 | rbxassetid://71330071884241
AttemptTransform | rbxassetid://13787760723
HitAwayStomp | rbxassetid://13796736032
WalkingStomp | rbxassetid://13797823465
Stomp | rbxassetid://13798096117
m1 | rbxassetid://13798290826
m2 | rbxassetid://13798292166
m3 | rbxassetid://13805476394
m4 | rbxassetid://13805477497
screamthingok | rbxassetid://13798731828
HitAwayCustom | rbxassetid://13934797783
SidespinHitaway | rbxassetid://14918133953
GrabRealityBarrage | rbxassetid://14842596992
GrabAttempt | rbxassetid://14696264429
GrabVictimRework | rbxassetid://81042094334127
GrabUppercutVictim | rbxassetid://14696880995
GrabUppercut | rbxassetid://14696883512
AbsorbMove | rbxassetid://14711378825
AbsorbThrow | rbxassetid://14711388788
punch1 | rbxassetid://16605706904
punch2 | rbxassetid://15312530700
punch3 | rbxassetid://15312532502
SigmaUlt1 | rbxassetid://15156015680
DownslamCustom | rbxassetid://14879415243
DashPunch | rbxassetid://15271724757
AirDashPunch | rbxassetid://14879544106
PortalComboGrabAttempt | rbxassetid://14902980663
PortalComboGrab | rbxassetid://14912196501
PortalComboGrabEnemy | rbxassetid://14895669410
PortalComboGrabFalling | rbxassetid://14912163353
PortalComboThrownOut | rbxassetid://14903316583
WarpPortalStoneHeadThing | rbxassetid://14904387159
WarpPunch | rbxassetid://14918116105
WarpPunchFinisher | rbxassetid://15080142982
WarpPortalult | rbxassetid://15105172429
ultmove1 | rbxassetid://15152938357
SigmaUlt2 | rbxassetid://15156022147
punch4 | rbxassetid://15312533035
CrushLunge | rbxassetid://15278183639
CrushLungeGrab | rbxassetid://15466887872
CrushLungeVictim | rbxassetid://15465901815
Uppercut | rbxassetid://16180009067
StarBurstAttempt | rbxassetid://15418489798
StarBurstUser | rbxassetid://15435269524
StarBurstTarget | rbxassetid://15435267690
WarpPunchHitAwayDiff | rbxassetid://15466596713
RealityFinisherRework | rbxassetid://110288112463975
RealityFinisherReworkVictim | rbxassetid://134101962207046
GrabRealityBarrageRework | rbxassetid://78026958649931
GrabVictim | rbxassetid://14696122068
DimensionalVolleyFinisherVictim | rbxassetid://100588188090669
DimensionalVolleyVictim | rbxassetid://79364490423310
DimensionalVolleySlam | rbxassetid://137804260214356
DimensionalVolleyFinisher | rbxassetid://138793129857840
GatewayDivebomb | rbxassetid://75627725092372
GatewayAmbush | rbxassetid://134136139810011
GatewayDivebombFinisher | rbxassetid://133331034440684
GatewayDivebombFinisherVictim | rbxassetid://71719689259827
PortalCascadeSpear | rbxassetid://80199209750021
PortalCascadeRanged | rbxassetid://120957887715691
PortalCascadeHitChar | rbxassetid://98601634788443
PortalCascadeHitVictim | rbxassetid://133950160178983
PortalCascadeKatana | rbxassetid://134382073587886
PortalCascadeClose | rbxassetid://124825260136594
PortalCascadeFinisherChar | rbxassetid://106021941638871
PortalCascadeFinisherVictim | rbxassetid://76364355289637
SwordSwing1 | rbxassetid://15322492552
SwordSwing2 | rbxassetid://15322493614
SwordSwing3 | rbxassetid://15322494803
SwordSwing4 | rbxassetid://15322496218
SpearSwing1 | rbxassetid://15504800742
SpearSwing2 | rbxassetid://15504801692
SpearSwing3 | rbxassetid://15504802588
SpearSwing4 | rbxassetid://15504803701
GatewayAmbushVictim | rbxassetid://94436844498151
SpatialRendStartupChar | rbxassetid://112507687599007
SpatialRendStartupVictim | rbxassetid://95651330096201
SpatialRendHitChar | rbxassetid://131048494162658
SpatialRendHitVictim | rbxassetid://115358744489684
SpatialRendFinisherChar | rbxassetid://121118686160792
SpatialRendFinisherVictim | rbxassetid://80848073609648
Hurt22 | rbxassetid://15270302190
Hurt21 | rbxassetid://15270301154
BackDashEscape2 | rbxassetid://14720011877
BackDashEscape1 | rbxassetid://14720009287
GrabAttempt | rbxassetid://13826305072
GrabUser | rbxassetid://15660813855
GrabTarget | rbxassetid://15660817775
GrabTargetFinisher | rbxassetid://13845353610
GrabUserFinisher | rbxassetid://13845355649
IceSpearThrow | rbxassetid://13884392982
ultpunch1 | rbxassetid://15678503628
ultpunch2 | rbxassetid://15678511747
ultpunch3 | rbxassetid://15678513579
ultpunch4 | rbxassetid://15678515524
Uppercut | rbxassetid://16643840993
Downslam | rbxassetid://13889274823
CutsceneFinishertarget | rbxassetid://13912112432
CutsceneFinisherchar | rbxassetid://13913088717
SpearSwing1 | rbxassetid://15504800742
SpearSwing2 | rbxassetid://15504801692
SpearSwing3 | rbxassetid://15504802588
SpearSwing4 | rbxassetid://15504803701
DashGrabOk | rbxassetid://15271729409
CounterStance | rbxassetid://16642481631
CounterHit | rbxassetid://13938010595
IceSlide | rbxassetid://13937908690
IceStompMove | rbxassetid://13948501945
SpearStabClose | rbxassetid://14138253524
AirDashDownslam | rbxassetid://14152202321
ULTIMATE | rbxassetid://14169664632
UltMoveAttempt1 | rbxassetid://14226650474
UltMoveTargetMoveOne | rbxassetid://14216856591
UltMoveCharMoveOne | rbxassetid://14216858986
JetKindlingUltMove | rbxassetid://14305239732
FrostfireNova | rbxassetid://121037664487666
CounterWindupBlazingSoul | rbxassetid://16294318548
Defrost | rbxassetid://14598343026
punch1old | rbxassetid://15701051470
punch2old | rbxassetid://15701052542
punch3old | rbxassetid://15701053497
punch4old | rbxassetid://15701054573
DownslamVariantAir | rbxassetid://15540320208
DownslamVariantAirLanded | rbxassetid://15540321488
Variant3Uppercut | rbxassetid://15555401164
UppercutVariantGrabAttempt | rbxassetid://15577892809
UppercutVariantLanded | rbxassetid://15555887957
UppercutVariantLandedGettingHit | rbxassetid://15555889494
FrostHitAwayVariant | rbxassetid://15591880275
HitAwayVariant | rbxassetid://15619709651
FrostHitAwayVariantFINISHER | rbxassetid://15647934266
SpearThrowNEW2 | rbxassetid://15679379470
SpearThrowNEW1 | rbxassetid://15661624908
SpearStabCloseNEW | rbxassetid://15661704532
punch1 | rbxassetid://16146436596
punch2 | rbxassetid://16146437896
punch3 | rbxassetid://16146439328
punch4 | rbxassetid://16146440723
BlazingSoulDashForward | rbxassetid://16270939935
BurningSoulNormal | rbxassetid://16271844564
BurningSoulNormalTarget | rbxassetid://16271843131
BurningSoulFinisher | rbxassetid://16442530988
BurningSoulTargetFinisher | rbxassetid://16442524715
BurningSoulPartEffectsNormal | rbxassetid://16271845491
BurningSoulPartEffectsFinisher | rbxassetid://16442538587
InfernoImpactStart | rbxassetid://78039526983159
DoorKickPlayer | rbxassetid://14169165148
DoorOpen | rbxassetid://14169162634
DoorOpenInside | rbxassetid://14168848976
Run | rbxassetid://14516391576
Walk | rbxassetid://14516377340
Idle | rbxassetid://14515992006
Jump | rbxassetid://14537564626
Falling | rbxassetid://14515976893
Dead | rbxassetid://14537748573
Hurt1 | rbxassetid://14537744807
Hurt2 | rbxassetid://14537745626
Hurt3 | rbxassetid://14537746813
Hurt4 | rbxassetid://14537747872
Punch1 | rbxassetid://14537711665
Punch2 | rbxassetid://14537717192
Punch3 | rbxassetid://14537720507
Punch4 | rbxassetid://14537725092
RagdollEscapeGrab | rbxassetid://14538123855
GrabStartChar | rbxassetid://14538234270
GrabStartTarget | rbxassetid://14538236106
Scream | rbxassetid://14538805884
RockThrow | rbxassetid://14539037468
Barrage | rbxassetid://14539945034
AxeKick | rbxassetid://14559398220
GrabAttempt1 | rbxassetid://14560429567
GrabTargetDifferent | rbxassetid://14560514973
GrabUserDifferent | rbxassetid://14560609801
BigClapMove | rbxassetid://14560647442
AbsorbMoveDebree | rbxassetid://14588047593
LeapIntoGrab | rbxassetid://14644823896
DownslamButDiff | rbxassetid://14645311064
MachPunch | rbxassetid://14645758312
Uppercut | rbxassetid://14657811578
RockBend | rbxassetid://14646253866
NamuSpawnAnim | rbxassetid://14834703871
ChosenOneFalling | rbxassetid://14600270534
ChosenOneGettingUp | rbxassetid://14600590772
BluePull | rbxassetid://14632571578
BackHand | rbxassetid://14644585337
LegDown | rbxassetid://14644656714
Combo | rbxassetid://14959077692
ult | rbxassetid://14970774596
purple | rbxassetid://14970719580
HeadPull | rbxassetid://14994823718
Downslam | rbxassetid://15025831980
AirDashDownslam | rbxassetid://15025898743
Punch1 | rbxassetid://15026108094
Punch2 | rbxassetid://15026113508
Punch3 | rbxassetid://15026116574
Punch4 | rbxassetid://15026119673
RedReversal | rbxassetid://15089802934
Hurt1 | rbxassetid://15270388721
Hurt2 | rbxassetid://15270390518
Hurt3 | rbxassetid://15270391503
Hurt4 | rbxassetid://15270302190
punch1 | rbxassetid://18616154806
punch2 | rbxassetid://18616155940
punch4 | rbxassetid://18679241274
punch3 | rbxassetid://18679858193
DashAirComboStarter | rbxassetid://16092548822
DashPunchComboStarter | rbxassetid://16092551200
Downslam | rbxassetid://18679941997
Uppercut | rbxassetid://16180009067
Move1_Startup | rbxassetid://16251481724
Move1_Combo | rbxassetid://16261058711
Move1_Victim | rbxassetid://16260272845
Move1_Flipped | rbxassetid://16260995378
PoweredShotBlast | rbxassetid://16286128510
PoweredShotSecondPart | rbxassetid://16286477448
PoweredShotGrabChar | rbxassetid://16286622234
PoweredShotGrabVictim | rbxassetid://16286704604
ExplosionComboCharacter | rbxassetid://16287254315
EruptionDiveSlam | rbxassetid://16653046059
BlastCatapultGrab | rbxassetid://16317790715
GroundCannon_Startup | rbxassetid://16295688493
GroundCannon_Followup | rbxassetid://16517076650
APShotAlt | rbxassetid://16460009013
BlastCatapultVictim | rbxassetid://16317912005
BlastCatapultSpin | rbxassetid://16317897712
GroundCannon_Finisher | rbxassetid://16482983345
GroundCannon_FinisherVictim | rbxassetid://16432165472
APShotAltAIR | rbxassetid://16460058042
ExplosionComboFinisherVictim | rbxassetid://16515566196
ExplosionComboFinisher | rbxassetid://16515557384
ULTIMATE | rbxassetid://16581469589
ExplosionComboVictim | rbxassetid://18899825912
EruptionDive | rbxassetid://16605468415
ultpunch1 | rbxassetid://16693837376
ultpunch2 | rbxassetid://16693843117
ultpunch3 | rbxassetid://16693856640
ultpunch4 | rbxassetid://16693941035
InfernalShot | rbxassetid://16753545351
ExplodingStarUser | rbxassetid://16943302563
ExplodingStarVictim | rbxassetid://16943305239
ExplodingStarStartup | rbxassetid://16943369063
EruptionDiveNewStartup | rbxassetid://16998769498
BlitzKickNEW | rbxassetid://18279694995
BlitzKickExtend | rbxassetid://17712845264
SecondAwakeningChar | rbxassetid://18210811961
SecondAwakeningCharFriend | rbxassetid://18210827683
SecondAwakeningPunch1 | rbxassetid://18256521082
SecondAwakeningPunch2 | rbxassetid://18256522182
SecondAwakeningPunch3 | rbxassetid://18256523309
SecondAwakeningPunch4 | rbxassetid://18256524330
SecondAwakeningUppercut | rbxassetid://18256527963
SecondAwakeningDownslam | rbxassetid://18257714114
SecondAwakeningDashAirComboStarter | rbxassetid://18257734508
SecondAwakeningMove1 | rbxassetid://18269395963
SecondAwakeningHurtAnimDrag | rbxassetid://18278697852
SecondAwakeningImpactDrag | rbxassetid://18273437116
SecondAwakeningFirstMoveSecondPart | rbxassetid://18273457215
BlitzKick | rbxassetid://17712842953
BLASTAWAYMOVE | rbxassetid://18450606088
BlastAwayVICTIMANIM | rbxassetid://18452249661
NUKEFINALMOVE | rbxassetid://18673594132
ExplosionComboCHARNEW | rbxassetid://18899824510
BlockedNormal1 | rbxassetid://17874423835
BlockedNormal2 | rbxassetid://17874429566
BlockedNormal3 | rbxassetid://18112773975
BlockedNormal4 | rbxassetid://18112789022
BlockingMastered | rbxassetid://17825525368
CharPunching | rbxassetid://18708721455
PunchingBagHurt | rbxassetid://18708713917
punch1 | rbxassetid://18833984494
punch2 | rbxassetid://18833986974
punch3 | rbxassetid://18833989817
punch4 | rbxassetid://18833991833
Uppercut | rbxassetid://18833997337
Downslam | rbxassetid://18818706074
AerialAttack | rbxassetid://18833993802
VanquishMove1 | rbxassetid://18865469668
VanquishMoveFinisherVictim | rbxassetid://18896008898
VanquishMoveFinisherChar | rbxassetid://18896010690
VanquishMoveFinisherVictim2 | rbxassetid://18896874073
VanquishFinisherStartup | rbxassetid://18898708323
CounterStartup | rbxassetid://100399585907877
CounterLandedChar | rbxassetid://71067336736470
CounterLandedVictim | rbxassetid://136841452760903
DecayingCounterFinisherChar | rbxassetid://107469366337462
DecayingCounterFinisherVictim | rbxassetid://133067359725229
SpearSwing1 | rbxassetid://15504800742
SpearSwing2 | rbxassetid://15504801692
SpearSwing3 | rbxassetid://15504802588
SpearSwing4 | rbxassetid://15504803701
ErosionStartup | rbxassetid://83257398034232
ErosionLandedChar | rbxassetid://127354249014931
ErosionLandedVictim | rbxassetid://121823927802808
FinalMoveVariant1Char | rbxassetid://88111769176382
FinalMoveVariant1Victim | rbxassetid://79722557720323
FinalMoveVariant1Animateable | rbxassetid://86582185160637
FinalMoveVariant1Wings | rbxassetid://115690466389783
FinalMoveVariant2Char | rbxassetid://117259153706472
FinalMoveVariant2Victim | rbxassetid://92182675934475
StartupChar | rbxassetid://93026140277942
StartupHitChar | rbxassetid://99086512595912
StartupHitVictim | rbxassetid://106719288104797
FinalMoveVariant2Building | rbxassetid://116792217654956
FinalMoveVariant2Wings | rbxassetid://110624225115561
ErosionFinisher | rbxassetid://70717940930200
ErosionFinisherChar | rbxassetid://129461085529825
ErosionFinisherArmBloat | rbxassetid://92551295794152
ErosionFinisherHeadBloat | rbxassetid://100595521863064
VoidStepsStartup | rbxassetid://123273310171537
VoidStepsPlayer1 | rbxassetid://109308918328294
VoidStepsPlayer2 | rbxassetid://96614146355022
VoidStepsPlayer3 | rbxassetid://85090740046808
VoidStepsPlayer4 | rbxassetid://119916577722743
VoidStepsPlayer5 | rbxassetid://96627886055844
VoidStepsVictimHurt1 | rbxassetid://109555919948771
VoidStepsVictimHurt2 | rbxassetid://95121581157095
VoidStepsVictimHurt3 | rbxassetid://128094106358314
VoidStepsVictimHurt4 | rbxassetid://87761645398707
SpawnAnimation | rbxassetid://99830912367736
SpawnAnimationRig | rbxassetid://99830912367736
UltimateAnimation | rbxassetid://89459829661544
UltimateAnimationRig | rbxassetid://88988846995165
ultpunch1 | rbxassetid://116756762450574
ultpunch2 | rbxassetid://85543614798446
ultpunch3 | rbxassetid://79960390183521
ultpunch4 | rbxassetid://71198438346350
VoidStepFinisherVictim | rbxassetid://134789425182076
VoidStepFinisherChar | rbxassetid://97065688936385
RadioBlast | rbxassetid://130014834654994
RadioBlastVictimFirst | rbxassetid://112032981287943
Start | rbxassetid://84027724325738
HitNormal | rbxassetid://95434175545772
HitNormalVictim | rbxassetid://90131671047829
HitRange | rbxassetid://121464513816617
HitRangeVictim | rbxassetid://104619628551072
FinisherUser | rbxassetid://104777514601095
FinisherAfo | rbxassetid://139738275985885
FinisherVictim | rbxassetid://90681173017612
Start | rbxassetid://133693145774397
HitNormal | rbxassetid://84290559789095
HitNormalVictim | rbxassetid://93671165419476
HandNormal | rbxassetid://113074040883591
HitFinisher | rbxassetid://82355859172282
HitFinisherVictim | rbxassetid://99784142608081
HandFinisher | rbxassetid://98532531444680
ErosionLandedArmPart | rbxassetid://100135520644456
AirHockeyStarting | rbxassetid://18912341166
Start | rbxassetid://18911955540
Waiting | rbxassetid://18911956268
PlayingLoop | rbxassetid://18912086811
Startup | rbxassetid://18912046132
OneInchPunchChar | rbxassetid://80153434516597
OneInchPunchVictim | rbxassetid://72805523723498
punch1 | rbxassetid://15322492552
punch2 | rbxassetid://15322493614
punch3 | rbxassetid://15322494803
punch4 | rbxassetid://15322496218
Uppercut | rbxassetid://13320488595
DashComboStarter | rbxassetid://15271714828
SwordDownslamFinsiher | rbxassetid://13320804108
SwordAirDashPunch | rbxassetid://13321052200
ThousandSlashes | rbxassetid://13340280313
BlockingMastered | rbxassetid://18179863298
BlockedSword1old | rbxassetid://13340487921
BlockedSword2old | rbxassetid://13340488679
DaggerThrow | rbxassetid://13347995121
DaggerThrowAir | rbxassetid://13348204486
HitArmLeft | rbxassetid://13348711976
HitArmRight | rbxassetid://13348710802
DaggerThrowFinisher | rbxassetid://13383077698
HeroClutchGrabMove1 | rbxassetid://13383561964
HeroClutchGrabMove2 | rbxassetid://13384462264
HeroClutchGrabTarget | rbxassetid://13384516222
Ultimate | rbxassetid://13407093536
HeroClutchFinisherOk | rbxassetid://13409602534
CurdlePierce | rbxassetid://13409991381
HitEnemyMoveCurdle | rbxassetid://13410365185
FinalMoveReady | rbxassetid://13410460097
CrimsonParry | rbxassetid://13416406894
CrimsonParryLanded | rbxassetid://13416416781
ScarletFrenzy | rbxassetid://13417046659
DaggerThrowAirLonger | rbxassetid://13418506570
DaggerThrowUltLonger | rbxassetid://13418581863
DaggerThrowFinisherButForUlt | rbxassetid://13418724366
UltMoveScream | rbxassetid://13440396918
ShadowRushHitTarget | rbxassetid://17279006898
MasteredPunch1 | rbxassetid://17270859925
MasteredPunch2 | rbxassetid://17270860573
MasteredPunch3 | rbxassetid://17270861977
MasteredPunch4 | rbxassetid://17270862970
MasteryUppercut | rbxassetid://17270876341
MasteredDownslam | rbxassetid://17252717495
SwordAirDashPunchNew | rbxassetid://17270906706
ShadowRushBeginning | rbxassetid://17278008995
ShadowRushHurtAnim | rbxassetid://17278272355
ShadowRushHit | rbxassetid://17279009104
DaggerCascadeAir1 | rbxassetid://17286590521
DaggerCascadeGround2 | rbxassetid://17286593650
DaggerCascadeAir2 | rbxassetid://17286596394
DaggerCascadeGround1 | rbxassetid://17286576338
ShadowRushFollowUp | rbxassetid://17299084757
ShadowRushFollowUpVictim | rbxassetid://17299655964
ShadowRushFollowUpHit | rbxassetid://17299054968
ShadowRushBadHurtAnimFollowUp | rbxassetid://17299651038
AirVariantShadowRush | rbxassetid://17468783293
ShadowRushFollwUpFinisherVictim | rbxassetid://17483986852
ShadowRushFollowUpFinisherUser | rbxassetid://17483993026
DaggerCascadeFinisher | rbxassetid://17497162280
DaggerCascadeFinisherVictim | rbxassetid://17497327600
KatanaThrow | rbxassetid://17507146266
NoKatanaPunch1 | rbxassetid://17507362502
NoKatanaPunch2 | rbxassetid://17507363581
NoKatanaPunch3 | rbxassetid://17507365767
NoKatanaPunch4 | rbxassetid://17507371553
HeroSlayerNoKatanaDownslam | rbxassetid://17684239304
NoKatanaUppercut | rbxassetid://17508338366
HeroSlayerNoKatanaAerialAttack | rbxassetid://17649179258
HeroSlayerUpperCut | rbxassetid://17527636507
HeroSlayerDownslamInAirVariant | rbxassetid://17579133109
HeroSlayerHeadbuttGrab | rbxassetid://17546045810
HeroSlayerHeadbuttUser | rbxassetid://17567172104
HeroSlayerHeadbuttVictim | rbxassetid://17567185096
HeroSlayerUppercutFinisher | rbxassetid://17593167984
HeroSlayerUppercutFinisherVictim | rbxassetid://17593166207
HeroSlayerStabM1Grab | rbxassetid://17611990950
HeroSlayerStabM1GrabVictim | rbxassetid://17611979509
HeroSlayerStabM1GrabFinisher | rbxassetid://17640278311
HeroSlayerStabM1GrabVictimFinisher | rbxassetid://17640287280
HeroSlayerAirShadowRushFinisher | rbxassetid://17643292300
HeroSlayerAirShadowRushFinisherVictim | rbxassetid://17643378543
HeroSlayerHeadbuttFinisher | rbxassetid://17649432991
HeroSlayerHeadbuttFinisherVictim | rbxassetid://17649434000
ShadowRushAirVictim1 | rbxassetid://17656821855
ShadowRushAirVictim2 | rbxassetid://17656822950
HeroSlayerKatanaPickup | rbxassetid://17657113326
DaggerEquippedKatanaSwing1 | rbxassetid://17695138754
DaggerEquippedKatanaSwing2 | rbxassetid://17695141644
DaggerEquippedKatanaSwing3 | rbxassetid://17695143819
DaggerEquippedKatanaSwing4 | rbxassetid://17695145533
DaggerEquippedPunch1 | rbxassetid://17695148278
DaggerEquippedPunch2 | rbxassetid://17695149873
DaggerEquippedPunch3 | rbxassetid://17695151857
DaggerEquippedPunch4 | rbxassetid://17695154281
ThirdMoveBackstep | rbxassetid://17695564742
ThirdMoveComboMove | rbxassetid://17695969268
OneMillionSlashesGroundFinisher | rbxassetid://17759617276
OneMillionSlashesGroundFinisherVictim | rbxassetid://17759618694
BlockedSword1 | rbxassetid://18179875582
BlockedSword2 | rbxassetid://18179877228
BlockedSword3 | rbxassetid://18179879373
BlockedSword4 | rbxassetid://18179886197
Blocking | rbxassetid://13340445319
DaggerEquippedUppercut | rbxassetid://17874339433
PierceCurdle | rbxassetid://83820519442425
FollowUpPierceCurdle | rbxassetid://18140125408
WhirlwindPierceFinisher | rbxassetid://18141161649
WhirlwindPierceFinisherVictim | rbxassetid://18141159862
HeroSlayerPassiveMastery | rbxassetid://18152365604
HurtAnimBlackFlashOk | rbxassetid://18153497872
BlackFlashFinsisherChar | rbxassetid://18634800614
BlackFlashFinsisherVictim | rbxassetid://18634913976
ThousandSlashesFinisherChar | rbxassetid://133278319402448
ThousandSlashesFinisherVictim | rbxassetid://138125184823099
CurdlePierceFinisherChar | rbxassetid://127618798384936
CurdlePierceFinisherVictim | rbxassetid://129361377112450
MasteryUltStartup | rbxassetid://76565558448677
MasteryUltWhiff | rbxassetid://99269244905184
MasteryUltSlashLoop | rbxassetid://74780655733498
MasteryUltHit | rbxassetid://116146064444519
MasteryUltFinisher | rbxassetid://133735891341388
MasteryUltSheathe | rbxassetid://133837245450324
MasteryUltFinisherVictim | rbxassetid://133735891341388
GekidoWindup | rbxassetid://100961692408561
GekidoVictim | rbxassetid://88826657932006
DetrimentalChar | rbxassetid://100363842951826
DetrimentalVictim | rbxassetid://89924662521808
DetrimentalFinisherVictim | rbxassetid://118489369371586
DetrimentalFinisherChar | rbxassetid://83627733955403
BlitzingTalonStartup | rbxassetid://97616058100366
GekidoWhiff | rbxassetid://139882019136889
GekidoChar | rbxassetid://118955379314015
GekidoFinisherChar | rbxassetid://140041748704958
GekidoFinisherVictim | rbxassetid://92859409917046
BlitzingTalonHitChar | rbxassetid://134996460596627
BlitzingTalonHitVictim | rbxassetid://70848465168692
masteryultpunch1 | rbxassetid://136224928438994
masteryultpunch2 | rbxassetid://120591017919072
masteryultpunch3 | rbxassetid://75896660797593
masteryultpunch4 | rbxassetid://136624925097074
BlitzingTalonWhiff | rbxassetid://111398045530962
BlockedSwordUlt1 | rbxassetid://92433947456093
BlockedSwordUlt2 | rbxassetid://79665886709367
BlockedSwordUlt3 | rbxassetid://109467777068023
BlockedSwordUlt4 | rbxassetid://76505075599631
BlockingMasteredUlt | rbxassetid://131499120456456
BlitzingTalonFinisherChar | rbxassetid://139014357236744
BlitzingTalonFinisherVictim | rbxassetid://84931184531060
CullStart | rbxassetid://103014697261796
CullSlash1 | rbxassetid://130997834819166
CullSlash2 | rbxassetid://97374333855142
CullSlash3 | rbxassetid://114245885470379
CullSlash4 | rbxassetid://130517373288012
CullSlash5 | rbxassetid://106881476889561
CullSlash6 | rbxassetid://87710492826483
CullSlash7 | rbxassetid://86634218970240
CullSlash8 | rbxassetid://118450960605808
CullSlash9 | rbxassetid://114209623186413
CullSlash10 | rbxassetid://109663868176337
CullSlash11 | rbxassetid://83611851588380
CullSlash12 | rbxassetid://132323047010885
CullFinisherChar | rbxassetid://124975095384900
CullFinisherVictim | rbxassetid://71994604687828
CullHurt1 | rbxassetid://93448056466808
CullHurt3 | rbxassetid://93448056466808
CullHurt2 | rbxassetid://114684513635830
punch1 | rbxassetid://109118299683778
punch2 | rbxassetid://134710131702457
punch3 | rbxassetid://129007872635806
punch4 | rbxassetid://97193330603283
Uppercut | rbxassetid://136633802277667
ReciproChargeSet | rbxassetid://98616015886790
ReciproSet1Dash | rbxassetid://133777267560587
ReciproWhiffSet | rbxassetid://79372169621900
ReciproFirstSetHitChar | rbxassetid://108502051856266
ReciproFirstSetHitVictim | rbxassetid://118284808939924
ReciproSecondSetHitChar | rbxassetid://133944035181080
ReciproSecondSetHitVictim | rbxassetid://93358274964419
ReciproAssaultFinisherChar | rbxassetid://110594561662054
ReciproAssaultFinisherVictim | rbxassetid://138007933724099
ReciproSet3Run | rbxassetid://110162925588538
ReciproSet3Exit | rbxassetid://121039542073963
ReciproSet3WindupHitVictim | rbxassetid://127270120367792
ReciproThirdSetHitVictim | rbxassetid://86985230429473
ReciproThirdSetHitChar | rbxassetid://126485082599263
ReciproThirdSetHitVictim | rbxassetid://86985230429473
TurbineBarrageStart | rbxassetid://98165307496803
TurbineBarrageNormalChar | rbxassetid://137933503013002
TurbineBarrageNormalVictim | rbxassetid://117591638903888
TurbineBarrageAerialEntireMove | rbxassetid://105275742777029
SoundBreakerGrounded | rbxassetid://108505993976453
AerialSoundBreakerChar | rbxassetid://81930524994884
AerialSoundBreakerVictim | rbxassetid://139779417473400
AerialSoundBreakerStartupVictim | rbxassetid://93940046430285
AerialSoundBreakerStartup | rbxassetid://121365131614515
PassiveMultikick | rbxassetid://130294889377527
JetStreamStart | rbxassetid://93305586993732
JetStreamStartKick | rbxassetid://83276918150286
JetStreamSet1 | rbxassetid://130672131690474
JetStreamSet2UpKick | rbxassetid://129111175167842
JetStreamSet2UpKickVictim | rbxassetid://73271438865981
JetStreamSet2Victim | rbxassetid://92794985757428
JetStreamSet2 | rbxassetid://136913864620352
TurbineDrive1 | rbxassetid://127873219455442
TurbineDriveKickVariant2 | rbxassetid://88324469316362
JetStreamSet2VictimIdle | rbxassetid://99217925284351
JetStreamSet2PlayerIdle | rbxassetid://106036584797204
JetStreamSet2Kickback | rbxassetid://116116341405019
JetStreamSet2Backflip | rbxassetid://114738667220184
TurbineDriveKickVariant1 | rbxassetid://76515969811715
TurbineDrive2 | rbxassetid://75073831753203
TurbineDrive_Dash | rbxassetid://89525187741283
TurbineDrive_Slide | rbxassetid://96743666960612
TurbineDrive_Aerial | rbxassetid://114295009095982
JetEngineUlt | rbxassetid://138189310000684
ultpunch1 | rbxassetid://114196250066051
ultpunch2 | rbxassetid://111421089585375
ultpunch3 | rbxassetid://93747593683197
ultpunch4 | rbxassetid://115309914160049
ChronosStart | rbxassetid://89391349585567
ChronosRunLoop | rbxassetid://118066327708939
ChronosEnd | rbxassetid://101158700634216
ChronosKick | rbxassetid://110435459189776
ChronosBarrageVictim | rbxassetid://88337639319370
ChronosKickVictim | rbxassetid://86625209935099
TurbineDrive_FinisherPlayer | rbxassetid://72386299043340
TurbineDrive_FinisherVictim | rbxassetid://102289546524152
MachFiveFirstKick | rbxassetid://99418956759909
MachFiveKick | rbxassetid://95556770628180
MachFiveFinalHit | rbxassetid://75946107451218
MachFiveWhiffShort | rbxassetid://71758332775095
MachFiveFinalHitVictim | rbxassetid://114353481182958
MachFiveWhiff | rbxassetid://99241250706342
JetStormStartup | rbxassetid://111005104998386
